elenapetrova/time-series-analysis-and-forecasts-with-prophet,644,6,,42
artgor/eda-feature-engineering-and-model-interpretation,864,59,Beginner%Data Visualization%Arts and Entertainment%Exploratory Data Analysis%Model Explainability,145
bminixhofer/how-bestpetting-cheated,34,2,,40
nroman/melanoma-pytorch-starter-efficientnet,1341,27,GPU,135
ruchi798/commonlit-readability-prize-eda-baseline,447,13,pandas%Matplotlib%NumPy%Seaborn%NLTK,65
jesucristo/fraud-complete-eda,453,31,GPU%Beginner%Data Visualization%Exploratory Data Analysis,26
iafoss/image-preprocessing-128x128,418,2,Data Visualization%Data Cleaning,65
nroman/eda-for-ashrae,314,18,pandas%Matplotlib%NumPy%Seaborn%Business,51
willkoehrsen/intro-to-model-tuning-grid-and-random-search,533,14,Beginner%Data Visualization%Classification,48
abhishek/pytorch-inference-kernel-lazy-tta,1187,8,GPU,87
sudalairajkumar/simple-exploration-baseline-santander-value,582,9,,80
namanj27/new-baseline-pytorch-moa,692,17,Beginner%Tabular Data%Medicine%Multilabel Classification,67
nvnnghia/yolov5-pseudo-labeling,1908,8,GPU,138
akensert/quest-bert-base-tf2-0,1303,14,,173
mauriciofigueiredo/mlp-simples-com-keras-para-iniciantes,710,4,Deep Learning,1
shujian/single-rnn-with-4-folds-clr,1499,10,,74
dimitreoliveira/model-stacking-feature-engineering-and-eda,676,33,Beginner%Data Visualization%Exploratory Data Analysis%Feature Engineering%Ensembling,138
cdeotte/xgb-fraud-with-magic-0-9600,616,5,pandas%Matplotlib%NumPy%Seaborn%Business,64
hamditarek/market-prediction-xgboost-with-gpu-fit-in-1min,1553,60,GPU,126
bertcarremans/data-preparation-exploration,650,31,Data Visualization%Data Cleaning,83
brendan45774/titanic-top-solution,815,57,Beginner%Data Visualization%Demographics,211
rohitsingh9990/panda-eda-better-visualization-simple-baseline,311,12,Data Visualization%Exploratory Data Analysis,43
khyeh0719/pytorch-efficientnet-baseline-train-amp-aug,1535,6,GPU,97
remekkinas/yolox-training-pipeline-cots-dataset-lb-0-507,944,7,,128
datafan07/analysis-of-melanoma-metadata-and-effnet-ensemble,589,28,TPU%Exploratory Data Analysis%Classification%Deep Learning%Image Data,106
isaienkov/riiid-answer-correctness-prediction-eda-modeling,633,87,Beginner%Data Visualization%Exploratory Data Analysis%Feature Engineering%Tabular Data,76
